radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
11,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,27363,3.278922644625298e-09,0.036575291335469995,3.407920223931892e-09,0.03101417689444055,-1.2899757930659377e-10,-1.289975793256263e-10,2.9299669721907047e-05,0.0020277860300038026,-4.402697387034919e-06,0.49040725662616125,0.029105501891052543,False
12,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,30909,1.3457886215257718e-08,0.27097984750445225,1.324536316191648e-08,0.28713905731360734,2.1252305334123824e-10,2.125230533351164e-10,0.00047113925274372377,6.026222833525598e-11,4.510833094408254e-07,0.9625721647203336,0.031288901823600335,False
12,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,30909,7.52503901671143e-09,0.12273061394792065,8.678013676468137e-09,0.08019947410160447,-1.1529746597567076e-09,-1.1529746597399424e-09,0.00013106912099996869,6.024972957646835e-07,-8.796691783263107e-06,0.18248861332138056,0.030889081773600724,False
12,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,30909,4.879499097830777e-09,0.07846760259499443,5.3370576711097264e-09,0.05921873003604411,-4.575585732789492e-10,-4.575585732706985e-10,6.0390632500640414e-05,8.61530115870907e-05,-7.576648137703249e-06,0.2373938024707497,0.03103789849863703,False
12,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,30909,3.3392876931420375e-09,0.03532428538361621,3.5230056803023093e-09,0.028349595199465893,-1.837179871602718e-10,-1.837179871851067e-10,2.943723276003346e-05,0.001918595269263231,-6.241007389612321e-06,0.3555608906310681,0.031233503940133245,False
13,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,34352,1.5492951526097735e-08,0.20442294652217197,1.548648741675086e-08,0.21379011563957173,6.464109346873805e-12,6.464109341117009e-12,0.00047114274730640005,6.414751760905625e-11,1.3720065475003865e-08,0.9989050374542882,0.033645992858249985,False
13,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,34352,8.230017889755006e-09,0.08908585957789238,9.493078699315112e-09,0.05469423534791131,-1.2630608095601058e-09,-1.2630608095673848e-09,0.00013122420376674354,6.178098611887921e-07,-9.625212219329048e-06,0.1633137911053505,0.03328754049662652,False
13,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,34352,5.1691509576522925e-09,0.0602854073323562,5.677583036185304e-09,0.043755993046759666,-5.084320785330111e-10,-5.084320785350075e-10,6.0521066213242326e-05,8.580777452331336e-05,-8.400910795979334e-06,0.2093054755775806,0.03349802878682173,False
13,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,34352,3.470176712547745e-09,0.02710526917208471,3.6808909006851756e-09,0.02099194868743359,-2.1071418813743063e-10,-2.107141881655003e-10,2.9523860082402524e-05,0.0018853701522871062,-7.137081248095161e-06,0.3059810775261379,0.03366167705684875,False
14,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,37920,1.534577317089859e-08,0.2148529579742774,1.4759667412988307e-08,0.24026840229220003,5.861057579102827e-10,5.86105757885247e-10,0.0004713548361798983,7.207188518184375e-11,1.2434491234572856e-06,0.9027233485775212,0.03555824286375753,False
