API Number,Nearest Fault Dist (km),Fault Segments <= 1 km,Fault Segments <= 2 km,Fault Segments <= 3 km,Fault Segments <= 4 km,Fault Segments <= 5 km,Fault Segments <= 6 km,Fault Segments <= 7 km,Fault Segments <= 8 km,Fault Segments <= 9 km,Fault Segments <= 10 km,Fault Segments <= 11 km,Fault Segments <= 12 km,Fault Segments <= 13 km,Fault Segments <= 14 km,Fault Segments <= 15 km,Fault Segments <= 16 km,Fault Segments <= 17 km,Fault Segments <= 18 km,Fault Segments <= 19 km,Fault Segments <= 20 km
31737198,2.0512965235314025,0,0,14,24,46,65,99,130,167,199,252,316,368,432,493,556,628,692,749,801
31737217,2.8454858672456322,0,0,4,10,15,32,43,55,63,71,79,87,96,124,140,157,189,226,290,334
31737247,0.6135202221578754,3,7,23,30,45,57,73,111,138,163,195,231,259,299,334,387,446,498,544,615
31737258,0.22558400663167877,5,22,46,65,83,128,172,211,258,303,348,430,503,572,645,714,779,857,950,1060
31737381,0.2872884575257015,7,15,23,38,58,87,111,145,182,227,284,334,380,442,494,574,630,704,790,893
31737387,1.9193294144411073,0,3,16,37,59,82,122,159,184,221,273,312,369,413,476,527,576,651,722,803
31737420,0.45167411721104994,3,12,21,27,40,51,66,89,107,143,177,203,227,253,317,386,467,539,611,677
31737549,0.9096113065111332,3,7,16,33,57,76,94,107,133,171,203,242,265,301,355,404,449,514,573,634
31737576,1.3876012210908142,0,6,14,20,41,57,69,80,120,143,175,217,249,293,348,396,454,514,566,644
31737738,1.6504105272876228,0,5,9,13,27,48,67,99,127,151,173,199,240,288,334,383,442,503,583,652
31737768,0.0001485249407090983,6,19,37,47,63,80,95,125,163,192,219,250,286,319,353,409,458,508,573,630
31737999,0.5001482940531553,3,7,11,32,53,68,99,117,146,174,210,244,286,329,364,418,468,521,562,608
31738026,1.2638203838475996,0,13,25,46,61,82,102,135,157,190,239,288,346,425,482,554,617,682,756,846
31738378,1.1490979987821384,0,19,28,35,50,67,89,127,168,206,245,283,318,351,389,429,465,501,552,609
31738454,3.9881509685055145,0,0,0,3,16,25,51,75,109,144,193,235,292,350,398,453,534,633,721,798
31738537,2.152621183384079,0,0,8,21,28,39,62,86,120,147,169,184,201,222,269,300,340,405,464,509
31738767,0.4625636162660072,3,7,22,36,49,66,81,95,111,148,176,204,234,258,281,323,369,419,456,495
31738856,1.5509419741802668,0,2,10,17,26,40,61,94,125,165,195,239,275,313,360,414,464,508,562,637
31738910,0.2189396126169044,4,7,16,28,49,67,103,132,162,187,211,236,283,335,389,456,502,546,594,661
31739040,0.9944894075767189,1,11,27,44,66,89,111,128,156,189,217,265,315,363,404,451,502,567,640,727
31739041,0.18679146089661947,5,12,29,42,60,74,89,102,117,133,152,181,247,289,332,380,434,491,570,644
31739044,2.6802610472160366,0,0,5,11,15,30,43,54,64,73,80,88,97,123,139,161,188,229,296,338
31739073,0.09954216447635042,7,25,38,50,62,81,103,122,144,182,218,254,307,350,394,432,500,568,625,702
31739079,1.2387088993361848,0,6,10,22,34,44,67,99,133,190,245,298,368,427,505,562,641,696,748,811
31739136,0.6878946864419443,2,5,13,25,37,47,65,82,97,109,123,150,179,240,272,305,357,399,496,568
31739197,2.2990051713754127,0,0,9,13,36,61,82,101,134,187,233,270,316,367,409,454,536,598,642,710
31739351,0.8534648318149163,2,10,27,37,57,100,145,200,257,314,370,438,497,571,647,749,844,927,1029,1119
31739364,3.3770613038091497,0,0,0,17,32,56,68,87,114,162,214,272,318,392,448,502,552,638,750,849
31739393,0.06648310227773667,12,25,40,59,84,142,192,246,301,351,428,510,597,695,778,847,925,1001,1075,1152
31739416,0.7978237579797341,3,8,21,33,44,75,102,128,164,200,239,306,383,481,549,659,744,830,937,1020
31739425,6.342535732852085,0,0,0,0,0,0,10,20,41,67,87,102,130,151,172,215,262,317,360,400
31739426,3.016508898431362,0,0,0,16,22,32,47,75,102,127,165,206,240,288,342,401,459,543,609,694
31739503,2.14585619402162,0,0,3,5,8,16,33,44,54,64,100,125,151,187,232,267,298,326,379,434
31739973,0.11050622030379777,4,7,13,28,39,48,57,64,84,101,145,177,198,239,292,360,415,476,544,619
31740035,0.1447120796118852,5,9,12,38,63,84,108,127,172,200,232,269,300,340,372,398,436,479,523,567
31740045,0.1380674212738587,5,15,24,35,49,66,84,101,114,143,181,211,235,277,328,394,462,544,611,679
31740194,0.723479277068965,4,8,18,32,47,86,109,144,183,221,252,293,348,395,449,494,544,598,667,742
31740201,1.5128805099010798,0,5,13,28,57,81,117,154,182,216,269,306,348,414,476,519,571,633,713,794
31740207,3.5870170361181617,0,0,0,7,14,21,27,32,38,44,54,79,123,149,176,207,232,259,299,363
31740243,0.4632909518094999,4,8,21,37,56,86,116,139,156,179,201,222,261,289,318,342,373,406,446,500
31740301,1.0582167631646509,0,7,11,15,19,22,27,42,49,72,91,107,121,156,177,199,219,239,260,283
31740335,1.2214317564513566,0,5,16,23,29,42,57,67,75,84,93,107,137,157,173,209,263,310,346,386
31740488,0.18135478581522493,5,14,24,34,45,64,80,93,133,177,214,266,323,375,420,490,570,651,729,805
31740569,0.3049583835439626,5,19,34,47,70,89,110,125,140,169,217,261,308,356,398,438,486,551,641,718
31740729,0.33988981193656764,5,9,12,24,34,45,55,77,107,132,155,177,211,235,262,301,366,422,481,548
31740775,1.4960792934119458,0,6,13,19,24,50,79,102,143,181,213,241,297,367,415,469,549,611,679,746
31740776,0.1553322528407603,12,22,38,57,93,143,190,250,306,370,432,517,592,701,779,843,919,994,1073,1150
31740777,2.237878809181615,0,0,7,20,50,63,79,119,150,180,213,255,319,368,420,487,543,606,678,742
31740798,0.7676281776583044,4,15,37,66,101,141,194,263,317,393,471,552,620,676,756,837,919,1009,1091,1162
31740804,1.8440200432897662,0,8,18,27,36,46,66,92,126,163,221,302,367,427,489,543,597,650,713,788
31740809,0.6239409083265497,4,10,20,28,42,66,86,106,143,185,229,271,308,365,417,470,524,574,620,663
31740873,0.21786240040821478,4,8,14,29,40,60,85,107,125,186,220,287,344,406,461,518,582,647,712,763
31740880,5.284711972091506,0,0,0,0,0,11,20,30,49,82,101,120,144,177,214,249,286,351,409,457
31741009,1.5478828686434556,0,5,9,15,21,27,44,54,65,80,101,133,177,230,276,318,358,399,461,515
31741017,5.642994438219066,0,0,0,0,0,2,4,35,54,73,92,118,139,159,184,236,288,331,379,434
